lemma,level,source
a,A1,freq
aa,C1,freq
aaron,B2,freq
aaronic,B2,freq
aas,B2,freq
ab,B1,freq
aba,C1,freq
abandon,B1,freq
abandoned,B2,freq
abandoning,B1,freq
abandonment,B1,freq
abandonments,B1,freq
abandons,B1,freq
abas,C1,freq
abatement,C1,freq
abatements,C1,freq
abbey,B2,freq
abbeys,B2,freq
abbot,C1,freq
abbots,C1,freq
abbott,C1,freq
abc,B2,freq
abcs,B2,freq
abdomen,B2,freq
abdomens,B2,freq
abdominal,B2,freq
abdominals,B1,freq
abel,C1,freq
abele,C1,freq
abeles,C1,freq
abelia,C1,freq
abelian,C1,freq
abell,C1,freq
aberdeen,C1,freq
abide,C1,freq
abided,C1,freq
abides,C1,freq
abiding,C1,freq
abidingness,C1,freq
abilities,A2,freq
ability,A2,freq
abjuration,C1,freq
abjure,C1,freq
abjured,C1,freq
abjures,C1,freq
abjuring,C1,freq
able,B1,freq
abler,B1,freq
ables,B1,freq
ablest,B1,freq
abnormal,B1,freq
abnormally,B2,freq
abnormals,B1,freq
aboard,B1,freq
abode,C1,freq
abodes,C1,freq
abolish,B2,freq
abolished,B2,freq
abolishes,B2,freq
abolishing,B2,freq
abolishment,B2,freq
abolition,B2,freq
abolitionism,B2,freq
abolitions,B2,freq
aboriginal,B2,freq
aboriginals,B2,freq
aborigine,B1,freq
aborigines,B1,freq
abortion,B2,freq
abortions,B2,freq
about,A1,freq
abouts,A1,freq
above,A1,freq
abraham,B1,freq
abrahamic,B1,freq
abrahams,B1,freq
abroad,A2,freq
abrupt,C1,freq
abruption,C1,freq
abruptly,B2,freq
abruptness,C1,freq
abs,B1,freq
absa,C1,freq
abscess,C1,freq
abscessed,C1,freq
abscesses,C1,freq
absence,B1,freq
absences,B1,freq
absent,B1,freq
absented,B1,freq
absentee,B2,freq
absenteeism,C1,freq
absentees,B2,freq
absentia,B1,freq
absenting,B1,freq
absently,B1,freq
absents,B1,freq
absi,C1,freq
absolute,B1,freq
absolutely,B1,freq
absolutes,B1,freq
absorb,B1,freq
absorbability,B1,freq
absorbable,B1,freq
absorbance,B1,freq
absorbancy,B1,freq
absorbant,B1,freq
absorbed,B1,freq
absorbedly,B1,freq
absorbency,B1,freq
absorbent,B1,freq
absorbents,B1,freq
absorber,B1,freq
absorbers,B1,freq
absorbing,B1,freq
absorbingly,B1,freq
absorbs,B1,freq
absorpt,B1,freq
absorptance,B1,freq
absorption,A2,freq
absorptions,B1,freq
absorptive,B1,freq
absorptivity,B1,freq
abstract,B1,freq
abstractable,B1,freq
abstracted,B1,freq
abstractedly,B1,freq
abstracter,B1,freq
abstracters,B1,freq
abstracting,B1,freq
abstraction,B1,freq
abstractionism,B1,freq
abstractionist,B1,freq
abstractionists,B1,freq
abstractions,B1,freq
abstractive,B1,freq
abstractly,B1,freq
abstractness,B1,freq
abstractor,B1,freq
abstractors,B1,freq
abstracts,B1,freq
absurd,B2,freq
absurdism,B2,freq
absurdist,B2,freq
absurdities,B2,freq
absurdity,B2,freq
absurdly,B2,freq
absurdum,B2,freq
abu,C1,freq
abundance,B1,freq
abundances,B1,freq
abundant,B1,freq
abundantly,C1,freq
abuse,B2,freq
abused,B2,freq
abuser,B2,freq
abusers,B2,freq
abuses,B2,freq
abusing,B2,freq
abyss,B1,freq
ac,B1,freq
acad,B2,freq
academic,B1,freq
academicism,B1,freq
academics,B1,freq
academie,B1,freq
academies,B1,freq
academy,B1,freq
acadia,B2,freq
acadian,B2,freq
accelerate,C1,freq
accelerated,C1,freq
accelerates,C1,freq
accelerating,C1,freq
acceleration,B2,freq
