lemma,level,source
a,A1,cefrj
abandon,B1,cefrj
abandoned,B2,cefrj
aberration,C2,octanove
abhor,C2,octanove
abhorrent,C2,octanove
abhorrently,C2,octanove
ability,A2,cefrj
abject,C2,octanove
able,B1,cefrj
abnormal,B1,cefrj
abnormally,B2,cefrj
aboard,B1,cefrj
abolish,B2,cefrj
aboriginal,B2,cefrj
aborigine,B1,cefrj
abound,C1,octanove
about,A1,cefrj
above,A1,cefrj
abroad,A2,cefrj
abruptly,B2,cefrj
absence,B1,cefrj
absent,B1,cefrj
absentee,B2,cefrj
absolute,B1,cefrj
absolutely,B1,cefrj
absorb,B1,cefrj
abstract,B1,cefrj
abstraction,C1,octanove
absurd,B2,cefrj
abundance,B1,cefrj
abundant,B1,cefrj
abundantly,C2,octanove
abuse,B2,cefrj
academic,B1,cefrj
academy,B1,cefrj
accent,B1,cefrj
accept,A2,cefrj
acceptable,A2,cefrj
acceptance,B1,cefrj
access,B1,cefrj
accessibility,B2,cefrj
accessible,B1,cefrj
accessory,B1,cefrj
accident,A2,cefrj
accidental,B1,cefrj
accidentally,B1,cefrj
accommodation,B2,cefrj
accompany,B1,cefrj
accomplish,B1,cefrj
accordingly,B2,cefrj
account,A2,cefrj
accountability,C2,octanove
accountant,B1,cefrj
accrue,C2,octanove
accumulate,B2,cefrj
accuracy,B1,cefrj
accurate,B1,cefrj
accurately,B1,cefrj
accusation,B2,cefrj
accuse,B1,cefrj
accustom,B1,cefrj
accustomed,C1,octanove
ache,B1,cefrj
achievable,B2,cefrj
achieve,A2,cefrj
achievement,B1,cefrj
acid,B2,cefrj
acidic,C1,octanove
acknowledge,B1,cefrj
acknowledgement,B1,cefrj
acknowledgment,B1,cefrj
acoustic,C1,octanove
acoustically,C1,octanove
acoustics,C1,octanove
acquaintance,B1,cefrj
acquire,B1,cefrj
acquisition,B2,cefrj
acre,C1,octanove
acreage,C2,octanove
acrobatic,C2,octanove
acrobatically,C2,octanove
acrobatics,C2,octanove
across,A2,cefrj
act,A2,cefrj
action,A1,cefrj
active,B1,cefrj
actively,B2,cefrj
activity,A1,cefrj
actor,A1,cefrj
actress,B1,cefrj
actual,B2,cefrj
actually,A2,cefrj
acute,B2,cefrj
acutely,C1,octanove
ad,B1,cefrj
ad-lib,C2,octanove
adapt,B1,cefrj
adaptable,B2,cefrj
add,A1,cefrj
addict,B2,cefrj
addicted,B2,cefrj
addiction,B2,cefrj
addition,A2,cefrj
additional,A2,cefrj
additionally,B2,cefrj
additive,C2,octanove
address,A1,cefrj
addressee,B1,cefrj
adept,C2,octanove
adequate,B2,cefrj
adequately,B2,cefrj
adhere,C2,octanove
adhesion,C2,octanove
adjective,A2,cefrj
adjoin,C1,octanove
adjoining,C1,octanove
adjust,A2,cefrj
adjustable,C1,octanove
adjustment,B2,cefrj
administration,B1,cefrj
administrative,B2,cefrj
admirable,B2,cefrj
admiration,B1,cefrj
admire,A2,cefrj
admiringly,B2,cefrj
admission,B1,cefrj
admit,A2,cefrj
admittedly,B2,cefrj
adopt,B1,cefrj
adopted,B2,cefrj
adoption,B2,cefrj
adorable,B1,cefrj
adore,B2,cefrj
adorn,B2,cefrj
adornment,C2,octanove
adrenaline,C1,octanove
adult,A2,cefrj
adulterate,C2,octanove
advance,B1,cefrj
advanced,A2,cefrj
advancement,B2,cefrj
advantage,A2,cefrj
advantageous,C1,octanove
advent,B2,cefrj
adventure,A2,cefrj
adventurous,B2,cefrj
adverb,B1,cefrj
adverbial,B1,cefrj
adversary,C1,octanove
adverse,B2,cefrj
adversely,B2,cefrj
